RecordNo,Таксономия релевантные
3366,0
3952,1
6852,0
4586,0
4677,1
3822,1
2701,0
1331,1
6285,0
3255,1
5792,1
2625,0
134,0
6927,0
2017,0
5119,0
1333,0
7849,1
5966,0
2464,0
6334,1
919,1
4270,0
4557,0
2689,0
1691,0
7577,1
4418,0
79,1
1379,0
7801,0
5072,1
479,1
3595,0
2893,1
7655,1
7141,0
3190,0
4054,1
2019,0
3643,1
6427,1
7596,0
1598,1
2491,1
5975,1
5544,0
70,1
198,1
2016,0
5904,1
5498,0
7500,1
3346,0
6020,0
4833,0
807,1
4866,0
1066,1
3693,1
5836,0
875,0
1222,0
5243,0
5349,0
1535,0
7514,1
7409,0
7702,1
3104,1
6972,0
104,1
1586,1
5999,1
7352,1
6259,0
6624,1
4431,1
579,1
2153,0
1001,0
1590,1
3442,0
4246,0
4038,1
7512,1
1834,1
114,1
1329,0
4289,1
7453,1
7179,0
4200,0
3628,0
2154,0
499,1
2444,0
5334,1
305,1
1060,0
7711,1
386,1
395,1
3047,1
6035,1
5753,0
3609,1
4820,0
6733,1
1847,1
68,1
7176,1
1733,1
3812,0
4752,0
4727,1
5447,0
7794,1
7230,0
341,0
7764,1
1720,1
5628,0
45,0
1393,1
5702,0
5718,0
4861,1
3868,0
7038,1
3700,0
6464,0
7779,0
1146,0
2036,1
176,0
1512,0
682,0
5865,0
7147,0
2920,1
7401,0
7948,0
2919,0
2219,0
501,0
4354,0
2967,1
6738,1
2038,0
846,1
3093,0
4147,0
916,1
6290,1
1284,1
6209,0
6040,0
7216,1
1340,0
6819,1
3261,0
2151,0
4435,0
4507,1
4929,0
5281,1
7654,1
4782,0
1789,0
2539,1
4641,1
5272,1
1155,0
4892,0
5720,0
4940,0
6855,0
1497,1
4287,0
1718,1
6284,0
187,0
288,0
6062,0
2367,0
669,1
41,0
7091,1
684,0
7713,0
2177,0
2852,0
402,1
5200,1
4772,0
5669,1
6484,0
3683,0
5348,0
1127,1
1723,1
1859,0
5015,0
1480,1
7205,1
6503,1
6123,1
5022,1
3932,1
4653,0
4006,0
4308,0
691,1
6212,1
5067,0
3268,1
7475,1
398,0
1082,1
6283,1
340,0
4725,1
1564,0
5970,1
5989,1
7878,1
1563,1
6232,0
1820,0
1860,1
5117,0
5148,1
5963,0
4010,0
169,0
5803,1
1574,0
2598,1
2977,0
2299,0
3808,1
7517,1
6501,0
7298,0
4987,1
6453,1
469,0
1330,0
433,1
2790,1
1261,1
5797,1
3656,1
5075,0
2266,1
1225,0
7958,1
4523,1
2235,1
188,1
7066,1
6580,1
802,1
6635,1
1599,1
1739,1
475,0
5638,1
6485,0
7871,0
1327,0
3660,1
1849,0
5682,1
3666,1
1137,1
5985,1
6387,1
7403,0
2358,0
436,0
4630,0
2717,1
4551,0
2420,1
3355,0
5536,1
2181,1
3218,1
1907,0
7785,0
2759,1
1508,1
4291,1
6864,0
7816,1
699,1
736,0
7825,0
5523,1
1550,1
7277,1
431,1
1862,0
1528,1
4527,1
6914,0
6031,1
7347,0
2259,0
6583,1
828,0
1715,1
3698,1
3788,0
4924,1
3082,1
7657,0
1874,0
336,0
1020,0
5186,0
60,0
3440,0
1717,1
821,1
6834,1
3354,0
1437,1
2834,0
371,1
6772,0
6593,0
786,1
1853,0
3424,1
3783,0
4489,1
1077,0
566,0
1947,1
2158,1
5898,1
7841,1
6403,0
3599,0
5613,0
5699,0
5345,0
901,0
5088,0
1255,0
1364,0
3176,1
7922,1
2269,0
3016,1
2546,0
6882,0
6146,1
1676,1
866,1
5114,1
582,1
2208,0
3363,1
6606,0
2327,0
5746,0
1570,0
7339,1
6622,1
3223,0
6946,0
4171,0
4994,1
7523,0
7340,0
3509,1
1561,0
5376,0
7430,0
4802,1
657,0
7681,0
7509,0
1953,1
7556,0
2003,1
3925,0
4222,0
4177,0
1991,0
7023,0
2570,0
5422,1
3694,0
6442,1
3058,1
7418,0
3498,0
6790,0
2404,0
5786,0
1325,1
5161,1
617,1
1529,1
7081,0
426,1
1159,0
5037,1
3747,0
2646,0
2661,1
2863,1
5323,1
1190,1
2710,0
1358,0
6311,0
3468,0
7714,0
1224,0
3089,0
5697,1
7737,0
6766,0
72,1
5054,1
5328,1
6771,0
5813,1
489,0
2609,0
6616,1
4398,0
373,0
5229,0
1054,0
4417,1
5277,1
1463,1
5683,1
2972,1
2599,0
5882,1
7134,1
4245,0
3321,0
4601,0
6736,1
2572,1
6260,0
4773,1
531,1
5972,1
119,0
2504,0
1435,1
7368,1
905,0
1382,1
2601,0
5947,0
5601,1
1915,1
1096,0
3838,0
6505,0
5925,1
4776,0
6219,0
1366,0
1445,0
7159,1
1039,1
2802,1
4337,0
3489,0
6161,0
2961,1
2192,1
1770,0
4500,0
1376,1
5004,0
2465,0
809,0
3756,1
4087,0
1703,0
4443,1
561,0
5124,0
7191,0
6175,0
1999,1
2225,0
5726,1
3651,0
6584,0
7406,0
7872,0
1757,1
3865,0
6188,1
5863,0
7070,0
4265,0
855,1
2821,0
3467,1
5172,0
4996,0
7858,0
7440,1
852,0
6615,0
5503,0
2445,1
4703,0
5377,1
6137,1
7630,1
6776,0
6721,0
3451,0
6726,0
3386,0
4699,0
5538,0
1488,1
4126,0
2528,1
1359,0
4306,0
248,0
3148,1
2006,0
4190,1
200,0
3955,1
3475,1
1698,0
2746,1
6868,1
1593,0
3889,1
3773,1
6816,0
112,0
1603,0
7802,1
672,0
5084,1
6762,1
7163,0
1731,1
5749,0
818,1
3604,1
6329,0
7788,1
2372,0
5488,0
5461,1
5102,0
2060,0
1183,1
4878,0
4754,1
3754,0
5900,1
3845,1
6953,1
5790,1
1268,1
2450,1
4886,0
3758,0
5906,1
6570,1
634,0
1483,1
19,1
3126,0
2139,0
6872,0
6943,1
5864,1
6042,1
3337,1
5915,0
3079,0
6173,1
1984,0
383,1
7771,0
4950,1
5489,1
6193,1
2900,1
6022,1
1912,1
1392,1
1996,1
5840,0
3910,0
1491,1
5764,1
7727,1
4823,1
7343,0
2677,1
3697,1
3525,0
4700,1
6961,1
4691,0
7622,0
7483,0
7388,0
6977,0
3481,0
2008,1
6793,1
5106,1
50,1
2216,0
7842,0
4334,1
2152,1
1069,0
7331,0
1187,1
4748,1
6291,1
520,1
5324,0
7015,1
4300,0
3389,0
6166,0
3894,0
4559,0
2345,1
6552,1
213,0
3608,1
334,0
3811,1
4164,0
2866,1
1111,0
2846,1
4363,0
4720,0
3490,0
1003,1
7236,0
1517,0
2998,1
6630,1
3414,0
5516,1
4849,1
4492,0
2959,1
333,0
3197,1
1956,0
2896,1
3583,0
4902,0
7587,0
1562,0
2220,0
7084,0
7390,0
625,0
7461,0
4738,1
2331,1
3335,1
7682,1
7907,0
4030,0
4965,1
1416,0
75,1
1315,0
1858,0
5095,1
3902,1
502,0
3505,0
6119,1
948,0
6706,1
550,0
746,0
7184,0
24,0
6835,0
7142,0
1471,1
5588,0
4440,1
5706,1
3432,0
510,0
7247,0
1162,1
3745,0
5466,1
2399,1
999,0
2436,0
167,0
1662,1
2173,0
1792,1
3042,0
7203,1
3167,1
2550,1
1916,1
3028,0
7725,0
2839,1
4387,0
7575,0
6917,0
122,1
2030,0
1248,0
3127,0
6928,1
4927,0
6207,0
1726,1
1866,0
6815,1
3547,1
4163,1
1344,1
484,1
4518,0
697,1
2520,0
3620,1
5453,0
6873,0
4407,0
3709,0
3855,0
4567,0
1091,0
4704,0
381,1
4766,1
3629,1
4528,1
3791,0
2379,1
281,1
6866,1
3742,1
6455,1
596,1
5778,1
3021,0
5246,0
573,0
2542,0
113,0
335,1
7385,1
4960,1
3801,1
6983,1
1769,0
841,1
6016,0
3569,1
612,0
7893,1
2898,0
845,0
5306,1
7208,0
7171,1
6519,1
1228,1
7374,0
5138,1
5313,0
3574,0
7540,1
6695,1
6235,0
3684,0
915,1
7950,1
4946,0
2795,1
2084,1
3741,0
1987,0
5659,0
2278,0
3084,0
628,0
5366,0
7733,0
2385,1
2761,1
1796,1
1320,0
1110,0
2664,1
3626,0
7260,0
22,0
6211,0
7042,0
7863,0
2892,0
5581,1
7137,0
3964,1
7476,0
3874,0
2424,0
7346,0
5822,0
6925,1
5073,1
5773,1
4156,0
1618,1
7760,1
7105,0
4809,1
7437,1
7674,0
2276,0
6729,1
3175,0
1786,1
2505,0
6922,0
2857,1
5240,0
1510,0
2506,0
4405,0
5597,0
4744,0
1234,0
7245,0
4400,1
5845,0
3732,0
7204,0
3272,1
1088,0
1816,0
7789,1
5197,1
6904,0
7307,0
2311,1
6303,0
6940,1
1191,0
4859,0
1332,0
4872,1
259,0
2355,1
59,1
1450,0
1095,0
964,0
4922,1
4044,0
7644,1
3142,1
3669,1
1262,1
4964,0
1357,0
6028,0
6249,1
6010,1
1318,1
2844,0
1978,1
7629,1
4650,0
329,0
1161,1
6660,1
6247,1
5609,1
5070,0
1839,1
2642,0
6337,0
3055,1
636,1
2565,1
2187,1
1975,1
4737,1
3384,0
4422,0
3500,1
7218,0
3067,0
4698,1
6038,0
7121,1
3112,1
3918,1
658,0
2102,1
6381,1
202,1
1754,0
4669,1
2902,1
4465,0
788,0
7947,0
5100,1
1606,0
1229,1
7183,0
453,1
2584,0
4077,1
797,1
7581,0
5131,1
7675,0
5959,0
2828,1
3962,1
4209,1
2627,1
7698,0
7612,1
483,0
7252,1
970,0
2619,0
3580,0
4366,0
6555,0
856,1
4607,0
3920,1
3963,1
7548,1
4352,1
1237,0
6402,0
5228,1
4062,1
6803,1
5445,1
3573,0
7063,1
5179,0
6831,0
4619,1
3848,0
5787,0
6861,1
3559,0
6775,0
4876,1
1611,0
3211,1
1362,1
2779,1
6674,1
7089,1
313,0
2164,0
1193,0
525,0
4746,1
920,1
1771,0
4450,0
5716,0
7656,0
5710,0
5782,0
605,0
803,0
2309,1
4016,0
5341,0
1763,0
2015,0
6637,0
5860,1
2782,0
7721,1
1776,1
7086,0
5831,1
5725,1
7362,0
2071,0
5657,1
5916,0
3988,1
748,1
957,0
7212,1
3170,0
2854,1
6216,1
1878,0
6590,0
2964,0
7632,0
1509,0
5632,1
5817,1
1642,0
3617,1
4382,1
2146,1
2622,0
975,1
7087,0
645,0
5780,0
5794,1
1348,0
5152,0
33,0
4022,0
263,1
1351,0
3232,1
4521,1
6867,0
6045,0
6697,0
7030,0
238,0
2523,0
6508,1
5671,1
137,1
3263,0
4692,1
6258,1
1704,0
842,1
30,0
5679,0
2569,0
175,1
2073,0
2211,1
5522,1
2396,1
6601,1
1141,0
6847,0
3417,1
284,1
5419,0
5846,0
90,1
3798,1
5570,0
1031,1
7811,1
3982,0
292,0
864,1
5902,0
4819,0
1890,0
4430,1
1906,1
6012,1
4798,0
3650,0
3906,0
20,0
