RecordNo,Длина отзыва
3366,0
3952,0
6852,0
4586,0
4677,0
3822,0
2701,0
1331,1
6285,0
3255,0
5792,0
2625,0
134,0
6927,0
2017,1
5119,0
1333,1
7849,0
5966,0
2464,0
6334,0
919,1
4270,0
4557,0
2689,1
1691,0
7577,0
4418,0
79,0
1379,0
7801,0
5072,0
479,0
3595,1
2893,0
7655,0
7141,0
3190,0
4054,0
2019,1
3643,0
6427,0
7596,0
1598,1
2491,0
5975,1
5544,0
70,0
198,0
2016,0
5904,0
5498,0
7500,0
3346,0
6020,1
4833,0
807,0
4866,0
1066,0
3693,0
5836,0
875,0
1222,0
5243,0
5349,0
1535,0
7514,1
7409,0
7702,0
3104,0
6972,0
104,0
1586,1
5999,0
7352,0
6259,0
6624,0
4431,0
579,1
2153,1
1001,0
1590,1
3442,0
4246,0
4038,1
7512,0
1834,1
114,0
1329,0
4289,1
7453,1
7179,0
4200,1
3628,0
2154,0
499,0
2444,0
5334,0
305,0
1060,0
7711,0
386,0
395,0
3047,0
6035,0
5753,0
3609,0
4820,0
6733,0
1847,0
68,0
7176,0
1733,1
3812,0
4752,1
4727,1
5447,0
7794,0
7230,0
341,0
7764,0
1720,0
5628,0
45,0
1393,1
5702,1
5718,0
4861,0
3868,0
7038,0
3700,0
6464,0
7779,0
1146,0
2036,0
176,1
1512,0
682,0
5865,0
7147,0
2920,0
7401,0
7948,0
2919,0
2219,0
501,0
4354,1
2967,0
6738,0
2038,0
846,0
3093,0
4147,0
916,0
6290,0
1284,0
6209,0
6040,0
7216,0
1340,0
6819,1
3261,0
2151,0
4435,1
4507,0
4929,0
5281,0
7654,0
4782,0
1789,0
2539,0
4641,0
5272,0
1155,0
4892,0
5720,0
4940,0
6855,0
1497,0
4287,0
1718,0
6284,0
187,0
288,0
6062,0
2367,1
669,0
41,0
7091,1
684,0
7713,0
2177,0
2852,0
402,0
5200,1
4772,0
5669,0
6484,0
3683,0
5348,1
1127,0
1723,1
1859,0
5015,0
1480,1
7205,0
6503,0
6123,0
5022,0
3932,1
4653,0
4006,0
4308,0
691,0
6212,1
5067,0
3268,0
7475,0
398,0
1082,0
6283,0
340,0
4725,0
1564,0
5970,0
5989,0
7878,0
1563,1
6232,1
1820,0
1860,0
5117,0
5148,0
5963,0
4010,0
169,0
5803,1
1574,0
2598,0
2977,0
2299,0
3808,0
7517,0
6501,0
7298,1
4987,1
6453,0
469,0
1330,0
433,0
2790,0
1261,0
5797,0
3656,0
5075,0
2266,0
1225,1
7958,0
4523,0
2235,0
188,0
7066,0
6580,0
802,0
6635,0
1599,0
1739,1
475,0
5638,1
6485,0
7871,1
1327,0
3660,0
1849,1
5682,1
3666,0
1137,0
5985,1
6387,1
7403,0
2358,0
436,0
4630,0
2717,0
4551,0
2420,0
3355,0
5536,0
2181,0
3218,0
1907,0
7785,1
2759,0
1508,1
4291,1
6864,0
7816,0
699,0
736,0
7825,0
5523,1
1550,0
7277,0
431,0
1862,1
1528,0
4527,1
6914,0
6031,1
7347,0
2259,0
6583,0
828,0
1715,0
3698,1
3788,0
4924,0
3082,0
7657,0
1874,1
336,0
1020,0
5186,0
60,0
3440,0
1717,1
821,0
6834,0
3354,0
1437,0
2834,0
371,0
6772,0
6593,0
786,1
1853,0
3424,0
3783,0
4489,0
1077,0
566,0
1947,0
2158,1
5898,0
7841,0
6403,0
3599,0
5613,0
5699,1
5345,0
901,0
5088,0
1255,0
1364,1
3176,1
7922,0
2269,0
3016,1
2546,0
6882,1
6146,0
1676,0
866,0
5114,1
582,0
2208,0
3363,0
6606,0
2327,0
5746,0
1570,0
7339,0
6622,0
3223,1
6946,0
4171,1
4994,0
7523,0
7340,0
3509,1
1561,0
5376,0
7430,1
4802,0
657,0
7681,1
7509,0
1953,0
7556,0
2003,1
3925,0
4222,0
4177,0
1991,0
7023,0
2570,0
5422,0
3694,0
6442,0
3058,0
7418,0
3498,0
6790,0
2404,0
5786,1
1325,1
5161,0
617,0
1529,0
7081,0
426,0
1159,0
5037,0
3747,0
2646,0
2661,0
2863,0
5323,0
1190,0
2710,0
1358,0
6311,0
3468,0
7714,0
1224,0
3089,0
5697,1
7737,0
6766,0
72,0
5054,0
5328,1
6771,0
5813,0
489,0
2609,0
6616,0
4398,1
373,0
5229,0
1054,0
4417,0
5277,1
1463,0
5683,0
2972,0
2599,0
5882,0
7134,1
4245,0
3321,0
4601,0
6736,0
2572,0
6260,0
4773,0
531,1
5972,1
119,0
2504,0
1435,0
7368,0
905,0
1382,1
2601,0
5947,0
5601,0
1915,0
1096,1
3838,0
6505,1
5925,0
4776,0
6219,1
1366,0
1445,0
7159,1
1039,0
2802,0
4337,0
3489,0
6161,0
2961,0
2192,1
1770,1
4500,1
1376,0
5004,0
2465,0
809,1
3756,0
4087,0
1703,0
4443,0
561,0
5124,0
7191,0
6175,0
1999,0
2225,1
5726,0
3651,0
6584,0
7406,0
7872,0
1757,0
3865,0
6188,0
5863,0
7070,0
4265,0
855,0
2821,1
3467,0
5172,0
4996,0
7858,0
7440,1
852,0
6615,0
5503,0
2445,0
4703,0
5377,1
6137,0
7630,1
6776,0
6721,0
3451,0
6726,0
3386,0
4699,0
5538,0
1488,1
4126,0
2528,0
1359,0
4306,0
248,0
3148,0
