RecordNo,Ценности
3366,1
3952,0
6852,1
4586,1
4677,0
3822,1
2701,0
1331,0
6285,0
3255,0
5792,1
2625,1
134,0
6927,1
2017,1
5119,1
1333,0
7849,1
5966,1
2464,0
6334,0
919,0
4270,0
4557,0
2689,0
1691,0
7577,0
4418,1
79,1
1379,0
7801,0
5072,1
479,0
3595,0
2893,0
7655,0
7141,0
3190,1
4054,1
2019,1
3643,0
6427,1
7596,1
1598,1
2491,1
5975,0
5544,0
70,1
198,0
2016,0
5904,0
5498,0
7500,0
3346,0
6020,1
4833,0
807,0
4866,0
1066,1
3693,0
5836,1
875,1
1222,0
5243,1
5349,1
1535,1
7514,1
7409,0
7702,1
3104,0
6972,1
104,1
1586,1
5999,0
7352,0
6259,1
6624,1
4431,1
579,0
2153,1
1001,1
1590,0
3442,0
4246,1
4038,0
7512,0
1834,0
114,0
1329,0
4289,0
7453,0
7179,0
4200,0
3628,1
2154,1
499,0
2444,0
5334,1
305,1
1060,0
7711,0
386,1
395,1
3047,1
6035,1
5753,1
3609,0
4820,1
6733,0
1847,1
68,0
7176,1
1733,1
3812,1
4752,1
4727,0
5447,1
7794,1
7230,1
341,0
7764,0
1720,1
5628,1
45,1
1393,0
5702,1
5718,1
4861,1
3868,1
7038,0
3700,0
6464,0
7779,0
1146,1
2036,0
176,1
1512,0
682,0
5865,1
7147,0
2920,1
7401,1
7948,0
2919,0
2219,1
501,0
4354,1
2967,1
6738,1
2038,0
846,0
3093,0
4147,0
916,1
6290,1
1284,0
6209,1
6040,0
7216,1
1340,1
6819,0
3261,0
2151,1
4435,1
4507,1
4929,0
5281,0
7654,1
4782,1
1789,0
2539,1
4641,0
5272,1
1155,0
4892,0
5720,0
4940,1
6855,1
1497,1
4287,1
1718,1
6284,1
187,1
288,0
6062,1
2367,1
669,1
41,1
7091,1
684,1
7713,0
2177,1
2852,0
402,1
5200,1
4772,0
5669,1
6484,0
3683,1
5348,1
1127,1
1723,1
1859,0
5015,0
1480,0
7205,1
6503,0
6123,1
5022,0
3932,1
4653,0
4006,0
4308,0
691,1
6212,0
5067,1
3268,1
7475,1
398,1
1082,0
6283,0
340,0
4725,1
1564,1
5970,1
5989,1
7878,1
1563,0
6232,1
1820,0
1860,0
5117,0
5148,1
5963,1
4010,1
169,0
5803,1
1574,0
2598,1
2977,0
2299,0
3808,0
7517,1
6501,1
7298,1
4987,0
6453,0
469,1
1330,1
433,1
2790,1
1261,1
5797,0
3656,0
5075,1
2266,1
1225,1
7958,1
4523,1
2235,1
188,0
7066,1
6580,0
802,1
6635,1
1599,1
1739,0
475,0
5638,1
6485,1
7871,1
1327,1
3660,0
1849,1
5682,0
3666,0
1137,0
5985,0
6387,1
7403,1
2358,0
436,0
4630,1
2717,0
4551,0
2420,1
3355,1
5536,0
2181,1
3218,1
1907,0
7785,1
2759,1
1508,1
4291,1
6864,1
7816,0
699,1
736,1
7825,0
5523,0
1550,1
7277,1
431,0
1862,0
1528,0
4527,1
6914,0
6031,0
7347,0
2259,1
6583,1
828,0
1715,1
3698,0
3788,0
4924,0
3082,1
7657,0
1874,1
336,0
1020,0
5186,0
60,1
3440,0
1717,1
821,0
6834,0
3354,1
1437,0
2834,1
371,1
6772,0
6593,0
786,1
1853,0
3424,1
3783,0
4489,0
1077,1
566,0
1947,0
2158,1
5898,1
7841,1
6403,0
3599,0
5613,1
5699,1
5345,0
901,1
5088,0
1255,0
1364,1
3176,0
7922,0
2269,0
3016,0
2546,0
6882,0
6146,1
1676,0
866,0
5114,1
582,0
2208,1
3363,0
6606,0
2327,1
5746,0
1570,0
7339,0
6622,1
3223,1
6946,1
4171,1
4994,1
7523,0
7340,0
3509,0
1561,0
5376,1
7430,1
4802,0
657,0
7681,1
7509,1
1953,1
7556,1
2003,0
3925,0
4222,0
4177,0
1991,0
7023,0
2570,0
5422,1
3694,1
6442,0
3058,0
7418,0
3498,0
6790,0
2404,1
5786,1
1325,1
5161,0
617,0
1529,0
7081,1
426,0
1159,1
5037,1
3747,0
2646,1
2661,1
2863,0
5323,1
1190,0
2710,1
1358,1
6311,1
3468,0
7714,0
1224,1
3089,1
5697,0
7737,1
6766,1
72,1
5054,1
5328,1
6771,0
5813,1
489,0
2609,1
6616,1
4398,1
373,0
5229,1
1054,0
4417,1
5277,0
1463,1
5683,1
2972,1
2599,1
5882,1
7134,1
4245,0
3321,1
4601,0
6736,0
2572,1
6260,1
4773,1
531,0
5972,1
119,0
2504,1
1435,1
7368,1
905,0
1382,0
2601,1
5947,1
5601,1
1915,1
1096,0
3838,1
6505,0
5925,1
4776,1
6219,1
1366,1
1445,1
7159,0
1039,1
2802,0
4337,0
3489,0
6161,1
2961,0
2192,0
1770,1
4500,1
1376,1
5004,0
2465,0
809,1
3756,1
4087,0
1703,1
4443,1
561,0
5124,1
7191,0
6175,0
1999,1
2225,1
5726,0
3651,0
6584,1
7406,1
7872,1
1757,1
3865,1
6188,1
5863,0
7070,1
4265,1
855,1
2821,1
3467,1
5172,0
4996,0
7858,0
7440,0
852,0
6615,1
5503,1
2445,1
4703,0
5377,0
6137,1
7630,0
6776,1
6721,1
3451,1
6726,0
3386,1
4699,1
5538,0
1488,0
4126,0
2528,1
1359,1
