RecordNo,Релевантность,Таксономия релевантные,Таксономия не релевантные,Длина отзыва,Ценности
3366,0,0,0,0,1
3952,0,1,0,0,0
6852,0,0,0,0,1
4586,0,0,0,0,1
4677,0,1,0,0,0
3822,0,1,0,0,1
2701,0,0,1,0,0
1331,0,1,0,1,0
6285,0,0,1,0,0
3255,0,1,0,0,0
5792,0,1,0,0,1
2625,0,0,0,0,1
134,0,0,0,0,0
6927,0,0,0,0,1
2017,0,0,0,1,1
5119,0,0,0,0,1
1333,0,0,1,1,0
7849,0,1,0,0,1
5966,0,0,0,0,1
2464,0,0,1,0,0
6334,0,1,0,0,0
919,0,1,0,1,0
4270,0,0,0,0,0
4557,0,0,0,0,0
2689,0,0,1,1,0
1691,0,0,0,0,0
7577,0,1,0,0,0
4418,0,0,0,0,1
79,1,1,1,0,1
1379,0,0,0,0,0
7801,0,0,0,0,0
5072,0,1,0,0,1
479,1,1,0,0,0
3595,0,0,1,1,0
2893,0,1,0,0,0
7655,0,1,0,0,0
7141,0,0,0,0,0
3190,0,0,0,0,1
4054,0,1,0,0,1
2019,0,0,0,1,1
3643,0,1,0,0,0
6427,0,1,0,0,1
7596,1,0,0,0,1
1598,0,1,0,1,1
2491,0,1,0,0,1
5975,0,1,1,1,0
5544,0,0,1,0,0
70,0,1,0,0,1
198,0,1,0,0,0
2016,0,0,0,0,0
5904,0,1,0,0,0
5498,0,0,0,0,0
7500,0,1,0,0,0
3346,0,0,0,0,0
6020,0,0,0,1,1
4833,0,0,0,0,0
807,0,1,1,0,0
4866,0,0,0,0,0
1066,1,1,0,0,1
3693,0,1,0,0,0
5836,0,0,0,0,1
875,0,0,0,0,1
1222,0,0,0,0,0
5243,0,0,1,0,1
5349,0,0,0,0,1
1535,0,0,0,0,1
7514,0,1,0,1,1
7409,0,0,0,0,0
7702,1,1,0,0,1
3104,0,1,0,0,0
6972,0,0,0,0,1
104,0,1,0,0,1
1586,1,1,0,1,1
5999,0,1,0,0,0
7352,0,1,0,0,0
6259,0,0,0,0,1
6624,0,1,0,0,1
4431,0,1,0,0,1
579,0,1,0,1,0
2153,0,0,0,1,1
1001,0,0,0,0,1
1590,0,1,0,1,0
3442,0,0,0,0,0
4246,0,0,0,0,1
4038,0,1,0,1,0
7512,0,1,0,0,0
1834,0,1,0,1,0
114,0,1,0,0,0
1329,0,0,0,0,0
4289,0,1,0,1,0
7453,0,1,0,1,0
7179,0,0,0,0,0
4200,0,0,1,1,0
3628,0,0,0,0,1
2154,0,0,0,0,1
499,0,1,1,0,0
2444,0,0,0,0,0
5334,1,1,0,0,1
305,1,1,0,0,1
1060,0,0,0,0,0
7711,0,1,0,0,0
386,0,1,0,0,1
395,0,1,0,0,1
3047,0,1,0,0,1
6035,1,1,0,0,1
5753,0,0,0,0,1
3609,0,1,0,0,0
4820,1,0,1,0,1
6733,0,1,1,0,0
1847,1,1,0,0,1
68,1,1,0,0,0
7176,1,1,0,0,1
1733,0,1,0,1,1
3812,0,0,0,0,1
4752,0,0,0,1,1
